Cycle	Depth	angle_mean	angle_std	area_convex	area_px	area_um	circularity	cvgrey	datetime_fin	datetime_ini	eccentricity	elongation	esd_px	esd_um	extent	img_fin	img_ini	intgrey	kurtgrey	length	longest_distance	major_px	maxgrey	mean_orientation_particle	meangrey	mediangrey	mingrey	minor_px	orientation	perim_px	perimmajor	rangegrey	rayleigh_statistics	rmsd	roll_correction	seq	sinusoity_index	skewgrey	solidity	speed	stdgrey	step_length_mean	step_length_std	track_id	vertical_speed	vig_name	vx
moose22_c2	500	23.35658498566141	31.528026645669517	44.0	38.0	143338.2182688581	0.9244299293826808	58.78558352856509	2022-09-13 11:25:28.000	2022-09-13 11:25:11.000	0.6433294887663245	1.3061831398288195	6.955796338302048	427.204737534347	0.6785714285714286	20220913-112528-1	20220913-112511-1	4040.0	-1.1537154370361529	5	5.6656049591303645	8.157176976194767	220.0	64.23561043693229	101.5	93.0	24.0	6.245048437284068	mix	22.72792206135785	2.7862484935272525	196.0	0.0407107037953014	28.371916896845065	3.0	20220913-110000	2.778733893100393	0.389752051678008	0.9047619047619048	54.438106451499955	60.20146232843514	2677.8003752184586	2422.374256938905	moose22_c2500_20220913-112511-1-228	20.65465967616427	moose22_c2500_20220913-112511-1-228.png	48.085333109243756
moose22_c2	500	0.2714659183034769	7.573658850646894	48.0	43.0	165197.0980028465	0.9112978276375832	47.795099321668914	2022-09-13 12:04:35.000	2022-09-13 12:04:32.000	0.6989012560649905	1.4097314933219205	7.3811583436231425	457.17710224055327	0.6293402777777778	20220913-120435-1	20220913-120432-1	4209.5	-1.2392436338249446	4	0.9998075936975992	8.816347851701295	186.0	57.32532548715545	97.5573634859349	93.5	23.0	6.311999175979871	mix	24.43502884254441	2.7460070894199573	163.0	0.03636470454195695	10.725088296002216	3.0	20220913-120000	1.4458173218315964	0.0035871771894757883	0.9090608465608464	72.26208855314697	48.09994663886532	836.3667656614232	56.957792940638896	moose22_c2500_20220913-120432-1-14	0.339313416177674	moose22_c2500_20220913-120432-1-14.png	71.55179141494463
moose22_c2	500	293.826212674223	19.38520367623002	60.0	58.0	231729.8799838307	1.0106476583487134	46.543025050567856	2022-09-13 12:16:39.000	2022-09-13 12:16:22.000	0.5374641708118556	1.1858364846882756	8.593479713983122	543.1828853085732	0.7407407407407407	20220913-121639-1	20220913-121622-1	7066.0	-1.2666580650672687	21	47.409697836951636	9.383124359164984	203.0	298.3748991886438	119.63934426229507	134.0	24.0	8.019559815617331	desc	26.899494936611664	2.8610803483588394	176.0	3.575133576584608e-08	46.53009329330771	3.0	20220913-120000	1.1099792502427936	-0.3581448458617398	0.9344262295081968	358.70941055710966	56.325121304270866	3528.969895527121	500.2788324774579	moose22_c2500_20220913-121622-1-50	310.8214087972468	moose22_c2500_20220913-121622-1-50.png	154.86269542588786
moose22_c2	500	270.69480462634994	11.967211824646686	98.0	89.0	376907.590344064	0.7612447963953223	42.157498289923225	2022-09-13 12:16:54.000	2022-09-13 12:16:14.000	0.8408225389443722	1.8473672992393118	10.645107772184813	692.7435663626932	0.5897435897435898	20220913-121654-1	20220913-121614-1	9042.0	-1.01997909241853	47	71.38124173982371	14.575699213911868	184.0	331.4367869836652	101.22222222222223	104.5	24.0	8.126878956857919	desc	37.21320343559643	2.615498145563386	160.0	2.719527433367741e-18	9.215168946966953	3.0	20220913-120000	1.040300630518947	-0.21776723067721487	0.9	166.98979451222877	43.218049045666206	1680.6541315642996	474.96766744432176	moose22_c2500_20220913-121614-1-41	163.95964495176668	moose22_c2500_20220913-121614-1-41.png	25.63752515770484
moose22_c2	500	287.8502244891586	5.427145884796508	42.0	35.0	130553.68490955945	0.7107583976385736	51.376752239458675	2022-09-13 12:23:30.000	2022-09-13 12:23:27.000	0.9132824545207416	2.4774711863447605	6.6755811781245455	407.7083692270069	0.6594444444444445	20220913-122330-1	20220913-122327-1	3450.0	-1.1251415907587998	4	3.809136383630965	11.24886270899025	198.5	82.54757037936497	99.98655462184874	96.75	23.5	4.3458686160151805	desc	25.106601717798213	2.31959798813324	173.0	0.03488808781524905	43.676115813619845	3.0	20220913-120000	2.033650536843901	0.22438253879018927	0.8485964104924069	274.86872802562056	51.37756042719262	3181.351018815053	1173.1007066955494	moose22_c2500_20220913-122327-1-118	260.7808989793843	moose22_c2500_20220913-122327-1-118.png	67.90490832298175
moose22_c2	500	13.883494960683775	25.332139243951303	53.0	42.0	160597.59226949984	0.8699238850939301	46.558341283870384	2022-09-13 12:26:18.500	2022-09-13 12:26:12.500	0.7427149389960583	1.4934116603481793	7.312732791431452	452.1937696019056	0.6507936507936508	20220913-122618-2	20220913-122612-2	3005.0	-0.6207383424424147	7	3.801017277613632	9.594558236059072	146.0	68.35443895592107	71.54761904761905	70.0	25.0	6.5050007540487655	mix	25.278174593052025	2.632830489371933	122.0	0.0023672590417146704	6.816779310551016	3.0	20220913-120000	1.4016749885883362	0.423661096034246	0.8275862068965517	52.35603463728413	31.511461759528434	605.9726231167144	113.48542830805222	moose22_c2500_20220913-122612-2-129	11.30403826514406	moose22_c2500_20220913-122612-2-129.png	46.4079771428568
moose22_c2	500	71.16573825781558	7.263261430903839	43.0	38.0	143338.2182688581	0.7603899034811852	48.10687102946313	2022-09-13 12:26:41.000	2022-09-13 12:26:37.000	0.912127985555124	2.4395865470215767	6.955796338302048	427.204737534347	0.53125	20220913-122641-1	20220913-122637-1	3265.0	-0.8969062099759771	5	0.0	11.639166348411724	179.0	336.375082209557	85.92105263157896	91.5	25.0	4.569838418861557	asc	26.14213562373095	2.222756967045407	154.0	0.008003675799969575	1.1453835182737555	3.0	20220913-120000	1.453317790277748	0.188669557695594	0.8604651162790697	64.98332694239602	41.33392997663081	752.1218396110651	214.63557395481854	moose22_c2500_20220913-122637-1-138	61.161183623459635	moose22_c2500_20220913-122637-1-138.png	22.028823529412165
moose22_c2	500	204.89273436037413	37.22429613138532	88.0	76.0	315019.8244738473	0.7463592981149398	54.69209317442861	2022-09-13 13:01:52.000	2022-09-13 13:01:48.000	0.8209237038526892	1.752282140040988	9.83676862239835	633.3034768670186	0.6107804232804233	20220913-130152-1	20220913-130148-1	8062.5	-1.3289043097708144	6	0.0	13.588129221008954	209.0	303.38626797511813	111.74238805970148	111.75	23.0	7.579702607490322	mix	34.763455967290604	2.6135079715292315	186.0	0.028230871067695576	2.970541494734348	3.0	20220913-130000	1.6461003915309398	0.0530033808949214	0.8603985341273477	37.34149343895384	58.0387229615822	345.75456887920217	165.63359241779375	moose22_c2500_20220913-130148-1-11	13.817638094816019	moose22_c2500_20220913-130148-1-11.png	26.04988737623709
moose22_c2	500	247.59505864975878	15.956117284945355	63.0	56.0	222673.9610659616	0.7834145452778019	46.42697127922705	2022-09-13 13:01:58.000	2022-09-13 13:01:55.000	0.8673454111449787	2.0092155546925734	8.444016491289505	532.4634192242696	0.6022727272727273	20220913-130158-1	20220913-130155-1	5619.0	-1.1988977568945776	5	1.4727579505910338	12.085783233606133	195.0	303.1437865200134	100.62264150943396	103.5	25.0	6.080734760966874	desc	30.763455967290593	2.6027127894106457	170.0	0.012584340451964751	1.205197459292933	3.0	20220913-130000	1.510103522662554	-0.11486485815224587	0.8939393939393939	27.894545983800512	50.305869847394725	242.14015610937943	134.88095920976352	moose22_c2500_20220913-130155-1-20	25.09942159834344	moose22_c2500_20220913-130155-1-20.png	12.241252574351707
moose22_c2	500	284.68455835074815	4.634537706046626	53.0	48.0	186903.69259453614	0.7916739990398254	48.42601206351893	2022-09-13 13:02:02.000	2022-09-13 13:01:59.000	0.8479695769020801	1.886632620886174	7.817640190446719	487.824940391928	0.575	20220913-130202-1	20220913-130159-1	4770.0	-1.1970510046714031	5	0.4945620620779812	11.445615457715812	171.0	302.33913322666166	96.375	99.0	25.0	5.877956315870852	desc	27.55634918610405	2.4057731154362028	146.0	0.00739698065064592	2.2402252519712	3.0	20220913-130000	1.161863816165415	0.0008870574797440818	0.8870967741935484	41.68679000012311	46.99933048429757	361.86449652884653	123.16982453923269	moose22_c2500_20220913-130159-1-26	40.20242236481213	moose22_c2500_20220913-130159-1-26.png	9.283695652173497
moose22_c2	500	288.51461363159854	14.37700357143702	49.0	44.0	169312.9109593432	0.8593765969155103	42.97015809900727	2022-09-13 13:02:06.500	2022-09-13 13:02:03.000	0.8711018620210689	2.036235302785007	7.484820637019111	464.3015115931234	0.6111111111111112	20220913-130206-2	20220913-130203-1	4162.0	-1.2787060157088392	5	2.583145372030641	10.894247196152275	167.0	304.936063717171	92.6341463414634	97.0	27.0	5.350596889022211	desc	26.55634918610405	2.3652834436113466	143.0	0.011389399188436813	4.268586394607525	3.0	20220913-130000	1.4653304253833117	-0.08677534350954913	0.9111111111111112	74.98349583675551	42.16774814042339	759.3814682541793	179.81180249905526	moose22_c2500_20220913-130203-1-31	69.59858825253532	moose22_c2500_20220913-130203-1-31.png	15.45257312504491
moose22_c2	500	272.8767898747593	4.2048450770653245	47.0	43.0	164955.25161442152	0.8579352540118972	44.373529999786435	2022-09-13 13:02:18.000	2022-09-13 13:02:09.000	0.8205883045304172	1.7500234019177061	7.398776714225281	458.2476405975145	0.6180555555555556	20220913-130218-1	20220913-130209-1	4538.0	-1.1232895726280607	12	0.0	10.120868670936717	189.5	305.78729334887544	108.29883292383292	112.5	25.0	5.567995294678414	desc	25.020815280171306	2.5340446940104155	163.5	1.1884095144848486e-06	4.223818437040974	3.0	20220913-130000	1.128369847231296	-0.11739050388149933	0.8968716861081655	117.31508799275271	46.95078900610751	1110.938333264704	250.27063768276955	moose22_c2500_20220913-130209-1-37	116.91351699348118	moose22_c2500_20220913-130209-1-37.png	5.619418234734034
moose22_c2	500	295.65026945465786	14.411211596197164	47.5	42.5	162772.97606420284	0.888447500480817	47.395398627951174	2022-09-13 13:05:58.000	2022-09-13 13:05:52.000	0.7504804447624593	1.514388886810755	7.3560049058816865	455.2359117101445	0.6619047619047619	20220913-130558-1	20220913-130552-1	4379.0	-1.2594487270717285	8	0.0	9.338075737211598	181.0	297.43691586587465	98.55700483091785	103.25	24.0	6.130675616540277	desc	24.81370849898477	2.625508293506053	155.0	-2.657450948349752e-05	14.778620268797438	3.0	20220913-130000	1.1103608490923391	-0.1802271459912961	0.9033613445378152	151.42271310194755	46.37949117499824	1502.209455376464	358.99063627798375	moose22_c2500_20220913-130552-1-54	133.08641059493772	moose22_c2500_20220913-130552-1-54.png	49.869366434955225
moose22_c2	500	156.06961886666897	13.781082375585088	40.0	37.0	139060.88679235108	0.9735582576112822	48.23960961160778	2022-09-13 13:06:17.000	2022-09-13 13:06:12.000	0.7024489426020991	1.4050190187102842	6.863662517577697	420.7823905416684	0.6785714285714286	20220913-130617-1	20220913-130612-1	2831.0	-1.1578611760102562	7	2.5077933782592243	8.462461612001308	153.0	341.87761564790264	77.3888888888889	82.5	23.0	5.76378389869324	asc	21.556349186104043	2.631898456010909	127.0	0.00032113506996147336	13.097427057536526	3.0	20220913-130000	1.2467859926405225	0.12996101692844148	0.925	103.83190837730288	39.773765501211074	1001.4651656761467	72.09178660242048	moose22_c2500_20220913-130612-1-62	40.82535765460593	moose22_c2500_20220913-130612-1-62.png	89.1631516693164
moose22_c2	500	306.8591511224932	3.5991101162629526	68.0	49.0	191333.30921334182	0.6249546172410213	45.54350011824179	2022-09-13 14:00:12.000	2022-09-13 14:00:08.500	0.9274989687059176	2.6750433893439536	7.898654169668587	493.57181393943824	0.5096153846153846	20220913-140012-1	20220913-140008-2	3683.0	-0.7593187085315534	5	3.1876325287358074	15.225003472531785	158.0	73.59147992740407	78.86666666666666	74.0	24.0	5.553995722793447	desc	32.520815280171306	2.2040290004954537	134.0	0.007236177389356445	32.221219622827256	3.0	20220913-140000	1.3115118917990785	0.31159927953066696	0.7361111111111112	235.72327929667298	34.95762285122035	2387.243858617927	171.8694187894319	moose22_c2500_20220913-140008-2-1	188.23492061043308	moose22_c2500_20220913-140008-2-1.png	131.45644741641323
moose22_c2	500	304.78468909592004	3.3477291183364213	73.0	45.0	173690.9744467547	0.4698736502572892	50.888367516384974	2022-09-13 14:00:21.000	2022-09-13 14:00:14.000	0.9421961330356572	2.984523556211049	7.569397566060481	470.266113205271	0.5142857142857142	20220913-140021-1	20220913-140014-1	2786.0	-0.3313465672592697	7	0.0	15.602957391898196	143.0	276.9278845202236	61.9111111111111	60.0	23.0	5.497933143039929	desc	36.72792206135786	2.2383185440559457	119.0	-1.918299361450018e-05	59.72202860882305	3.0	20220913-140000	1.3358436368837092	0.8255945691179156	0.6730769230769231	311.09467795121947	31.94231572519795	4200.738321100572	1416.3810089722108	moose22_c2500_20220913-140014-1-7	255.13327063296262	moose22_c2500_20220913-140014-1-7.png	164.0182699507389
moose22_c2	500	37.88832816965486	13.560511329518722	62.0	42.0	160625.73200055747	0.5556095478220171	47.72065072428129	2022-09-13 14:09:00.000	2022-09-13 14:08:55.000	0.9173928437413852	2.514838383125526	7.310658550815098	452.067884564778	0.4194444444444445	20220913-140900-1	20220913-140855-1	2772.0	-0.9147174895864562	6	0.0	13.47282163376848	133.0	301.53784228680706	66.75227272727273	61.5	23.0	5.511685226455922	asc	31.52081528017132	2.296055087820044	110.0	0.0022854863908971053	8.617262828453505	3.0	20220913-140000	1.2218668989340573	0.38442473372359787	0.6946608946608946	146.91040707964598	32.5161520608641	1700.3519337921985	448.6407707241214	moose22_c2500_20220913-140855-1-30	88.25652427531028	moose22_c2500_20220913-140855-1-30.png	115.34233599999992
moose22_c2	500	12.721264172276847	6.260093134045827	63.0	58.0	231729.8799838307	0.9361550239297056	55.109163245629986	2022-09-13 14:17:35.000	2022-09-13 14:17:32.000	0.7744595504563785	1.580719195537734	8.593479713983122	543.1828853085732	0.640625	20220913-141735-1	20220913-141732-1	6075.0	-1.2395075916656588	5	1.3586204092440444	10.77536298241398	219.0	311.67188183106583	102.98181818181818	100.0	23.0	6.963877899805938	mix	28.14213562373095	2.5037712291278167	196.0	0.0077372622130214815	34.29405226603384	3.0	20220913-140000	1.33380785067315	0.19416965167269792	0.9206349206349206	296.3346710285455	59.47988998580065	2572.3495749005688	89.69140226363253	moose22_c2500_20220913-141732-1-57	64.880495273271	moose22_c2500_20220913-141732-1-57.png	290.2990344827598
moose22_c2	500	251.59998927376395	2.8301157823785	61.5	53.0	209195.82027450687	0.8531272801270238	61.018734118603184	2022-09-13 14:22:26.500	2022-09-13 14:22:21.000	0.714487570049186	1.4305362026378754	8.2132614669777	515.9786821417385	0.5953282828282829	20220913-142226-2	20220913-142221-1	6126.5	-1.1789221755497632	4	1.16667247136451	9.78497468496901	243.5	65.62518719293894	111.5	100.25	24.5	7.045099074281441	desc	28.09188309203678	2.767731426641768	218.5	0.03377511457359262	29.390195020757066	3.0	20220913-140000	1.5942021855242476	0.35044810416410777	0.8703314659197012	124.53613979050856	69.63939416036095	2642.549262530081	746.1314309386541	moose22_c2500_20220913-142221-1-65	118.01804175360107	moose22_c2500_20220913-142221-1-65.png	46.62080098613253
