datetime_fin,datetime_ini,sequence,track_id,track_speed,trap_speed
2022-09-12 18:17:31.000,2022-09-12 18:17:26.000,20220912-180000,moose22_c2200_20220912-181726-1-139,12.685817687599855,0.19999999999981813
2022-09-12 18:17:58.000,2022-09-12 18:17:34.000,20220912-180000,moose22_c2200_20220912-181734-1-153,7.409491529833815,0.08333333333325754
2022-09-12 18:17:59.500,2022-09-12 18:17:34.000,20220912-180000,moose22_c2200_20220912-181734-1-152,69.98008120457621,0.03921568627447414
2022-09-12 18:19:23.000,2022-09-12 18:19:18.000,20220912-180000,moose22_c2200_20220912-181918-1-222,58.50545957103817,0.13333333333321207
2022-09-12 18:19:32.000,2022-09-12 18:19:25.000,20220912-180000,moose22_c2200_20220912-181925-1-226,70.48738165013017,0.0
2022-09-12 18:26:20.000,2022-09-12 18:26:15.000,20220912-180000,moose22_c2200_20220912-182615-1-235,-68.1569570419667,0.19999999999981813
2022-09-12 18:26:32.000,2022-09-12 18:26:22.000,20220912-180000,moose22_c2200_20220912-182622-1-242,-69.5912061538396,-0.19999999999981813
2022-09-12 19:02:47.000,2022-09-12 19:02:42.000,20220912-190000,moose22_c2200_20220912-190242-1-14,302.3119757251227,-0.13333333333321207
2022-09-12 19:03:05.000,2022-09-12 19:03:03.000,20220912-190000,moose22_c2200_20220912-190303-1-32,448.91155434443885,-0.6666666666660603
2022-09-12 19:08:09.000,2022-09-12 19:08:00.000,20220912-190000,moose22_c2200_20220912-190800-1-40,139.98515787967494,0.44444444444404024
2022-09-12 19:08:15.000,2022-09-12 19:08:11.500,20220912-190000,moose22_c2200_20220912-190811-2-49,173.3644918642395,0.19047619047601724
2022-09-12 19:21:47.000,2022-09-12 19:21:45.000,20220912-190000,moose22_c2200_20220912-192145-1-64,358.0265184293727,-1.1666666666656056
2022-09-12 20:21:59.000,2022-09-12 20:21:52.000,20220912-200000,moose22_c2200_20220912-202152-1-17,47.75409194886829,-0.14285714285701293
2022-09-12 20:22:03.000,2022-09-12 20:22:00.000,20220912-200000,moose22_c2200_20220912-202200-1-22,57.23254400897869,0.7777777777770705
2022-09-12 20:27:58.000,2022-09-12 20:27:54.500,20220912-200000,moose22_c2200_20220912-202754-2-30,-176.81237240588678,-0.3809523809520345
2022-09-12 21:11:37.000,2022-09-12 21:11:30.000,20220912-210000,moose22_c2200_20220912-211130-1-8,114.05272421982654,8.120488408686859e-13
2022-09-12 21:17:57.500,2022-09-12 21:17:40.000,20220912-210000,moose22_c2200_20220912-211740-1-20,114.99096028617235,0.0
2022-09-12 21:18:06.000,2022-09-12 21:17:59.000,20220912-210000,moose22_c2200_20220912-211759-1-42,148.19741606987546,-0.09523809523800862
2022-09-12 21:22:41.000,2022-09-12 21:22:32.000,20220912-210000,moose22_c2200_20220912-212232-1-53,144.6471649141363,-0.11111111111101006
2022-09-12 21:25:15.000,2022-09-12 21:25:10.000,20220912-210000,moose22_c2200_20220912-212510-1-66,-163.40840455964178,-0.5333333333328483
2022-09-12 21:29:00.000,2022-09-12 21:28:48.000,20220912-210000,moose22_c2200_20220912-212848-1-77,128.7103889659792,
2022-09-12 22:04:56.000,2022-09-12 22:04:46.000,20220912-220000,moose22_c2200_20220912-220446-1-3,34.5632182841319,-0.0666666666660376
2022-09-12 22:05:13.000,2022-09-12 22:05:06.000,20220912-220000,moose22_c2200_20220912-220506-1-16,53.818362994682616,0.28571428571402585
2022-09-12 22:09:18.500,2022-09-12 22:09:13.000,20220912-220000,moose22_c2200_20220912-220913-1-23,-106.76484840296088,-0.12121212121201097
2022-09-12 22:14:02.000,2022-09-12 22:13:54.000,20220912-220000,moose22_c2200_20220912-221354-1-41,-27.923273576047936,-0.08333333333325754
2022-09-12 22:21:36.000,2022-09-12 22:21:29.000,20220912-220000,moose22_c2200_20220912-222129-1-73,-66.56700238270282,0.3809523809520345
2022-09-12 22:21:49.000,2022-09-12 22:21:43.000,20220912-220000,moose22_c2200_20220912-222143-1-78,-61.99123528413593,-0.05555555555550503
2022-09-12 22:25:53.000,2022-09-12 22:25:27.500,20220912-220000,moose22_c2200_20220912-222527-2-86,237.5681743990804,0.026143790849649424
2022-09-12 23:10:10.000,2022-09-12 23:10:07.000,20220912-230000,moose22_c2200_20220912-231007-1-8,168.11499617790938,0.11111111111101006
2022-09-12 23:10:25.000,2022-09-12 23:10:21.000,20220912-230000,moose22_c2200_20220912-231021-1-19,139.48286232954774,-0.4166666666662877
2022-09-12 23:10:37.000,2022-09-12 23:10:29.000,20220912-230000,moose22_c2200_20220912-231029-1-23,158.93711622704774,-0.12499999999988631
2022-09-12 23:10:43.000,2022-09-12 23:10:40.000,20220912-230000,moose22_c2200_20220912-231040-1-32,218.2235896789156,1.3333333333321207
2022-09-12 23:11:26.000,2022-09-12 23:10:47.500,20220912-230000,moose22_c2200_20220912-231047-2-37,120.92807229856652,0.02597402597400235
2022-09-12 23:19:16.000,2022-09-12 23:19:12.000,20220912-230000,moose22_c2200_20220912-231912-1-80,255.94547740835515,0.33333333333303017
2022-09-13 00:00:07.500,2022-09-13 00:00:04.000,20220913-000000,moose22_c2200_20220913-000004-1-3,17.859465376912013,-0.19047619047439315
2022-09-13 00:00:18.000,2022-09-13 00:00:11.500,20220913-000000,moose22_c2200_20220913-000011-2-9,137.83589748172014,0.1025641025648838
2022-09-13 00:01:47.000,2022-09-13 00:01:42.000,20220913-000000,moose22_c2200_20220913-000142-1-18,48.64774089814722,-0.26666666666642413
2022-09-13 00:01:56.000,2022-09-13 00:01:51.000,20220913-000000,moose22_c2200_20220913-000151-1-25,-33.67235044660345,-0.33333333333303017
